word,meaning,synonym,antonym
Quirk,"{'Noun': ['a strange attitude or habit', 'a narrow groove beside a beading'], 'Verb': ['twist or curve abruptly']}","['oddity', 'queerness', 'crotchet', 'quirkiness', 'strangeness', 'unfamiliarity']","['familiarity', 'nativeness', 'take away', 'unsnarl', 'unweave']"
Ramify,"{'Verb': ['have or develop complicating consequences', 'grow and send out branches or branch-like structures', 'divide into two or more branches so as to form a fork']}","['separate', 'twig', 'bifurcate', 'furcate', 'arborize', 'arborise', 'diverge', 'fork', 'trifurcate', 'branch']","['converge', 'connect', 'join', 'attach', 'associate']"
Rash,"{'Noun': ['any red eruption of the skin', 'a series of unexpected and unpleasant occurrences'], 'Adjective': ['imprudently incurring risk', 'marked by defiant disregard for danger or consequences']}",['imprudent'],"['prudent', 'imprudent']"
Raw,"{'Noun': ['informal terms for nakedness'], 'Adjective': ['(used especially of commodities', 'having the surface exposed and painful', 'not treated with heat to prepare it for eating', 'not processed or refined', 'devoid of elaboration or diminution or concealment; bare and pure', 'brutally unfair or harsh', 'not processed or subjected to analysis', 'untempered and unrefined', 'hurting', 'unpleasantly cold and damp', 'used of wood and furniture', 'lacking training or experience', '(used informally']}","['unprocessed', 'natural', 'rude']","['processed', 'strong', 'hard', 'old']"
Readily,"{'Adverb': ['without much difficulty', 'in a punctual manner']}","['promptly', 'pronto']",
Reconsideration,"{'Noun': ['a consideration of a topic (as in a meeting', 'thinking again about a choice previously made']}",['consideration'],['unkindness']
Reform,"{'Noun': ['a change for the better as a result of correcting abuses', 'a campaign aimed to correct abuses or malpractices', 'self-improvement in behavior or morals by abandoning some vice'], 'Verb': ['make changes for improvement in order to remove abuse and injustices', 'bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one', 'produce by cracking', 'break up the molecules of', 'improve by alteration or correction of errors or defects and put into a better condition', 'change for the better']}","['housecleaning', 'moralization', 'improvement', 'moralisation', 'land reform']","['falsify', 'stiffen', 'decrease', 'tune', 'dissimilate']"
Refute,"{'Verb': ['overthrow by argument, evidence, or proof', 'prove to be false or incorrect']}","['answer', 'oppose', 'controvert', 'repudiate', 'renounce', 'contradict', 'disown', 'rebut']","['refrain', 'accept', 'admit', 'take office', 'claim']"
Reinforce,"{'Verb': ['make stronger', 'strengthen and support with rewards']}","['beef up', 'buttress', 'line', 'mine', 'bolster up', 'strengthen', 'reenforce', 'bolster', 'fortify']","['weaken', 'devitalize', 'inactivity', 'natural object', 'straight line']"
Reluctantly,{'Adverb': ['with reluctance']},,
Renounce,"{'Verb': ['give up, such as power, as of monarchs and emperors, or duties and obligations', 'leave (a job, post, or position', 'turn away from; give up', 'cast off']}","['vacate', 'abdicate', 'give up', 'resign']","['fuse', 'saddle', 'lodge', 'burden', 'dock']"
Reproach,"{'Noun': ['a mild rebuke or criticism', 'disgrace or shame'], 'Verb': ['express criticism towards']}","['reproof', 'reprimand', 'self-reproof', 'reprehension', 'rebuke', 'blame', 'rap', 'reproval', 'self-reproach']","['praise', 'blessed', 'absolve', 'honor', 'humanize']"
Repudiate,"{'Verb': ['cast off', 'refuse to acknowledge, ratify, or recognize as valid', 'refuse to recognize or pay', 'reject as untrue, unfounded, or unjust']}","['take back', 'forswear', 'reject', 'unsay', 'disown', 'refute', 'apostatize', 'resile', 'abjure', 'retract', 'renounce', 'apostatise', 'tergiversate', 'deny', 'withdraw', 'swallow', 'rebut', 'recant']","['accept', 'approbate', 'believe', 'honor', 'approve']"
Retention,"{'Noun': ['the act of retaining something', 'the power of retaining and recalling past experience', 'the power of retaining liquid']}","['holding', 'storage', 'ownership', 'keeping', 'withholding', 'possession']","['inability', 'software', 'nonvolatile storage', 'non-volatile storage', 'volatile storage']"
Satiated,"{'Verb': ['fill to satisfaction', 'overeat or eat immodestly; make a pig of oneself'], 'Adjective': ['supplied (especially fed']}","['satiable', 'satisfiable', 'satiate', 'jaded']","['insatiate', 'abstain', 'rested', 'unsated', 'unsatiable']"
Savvy,"{'Noun': ['the cognitive condition of someone who understands'], 'Verb': ['get the meaning of something']}","['twig', 'get wise', 'compass', 'tumble', 'get the picture', 'latch on', 'comprehend', 'get onto', 'catch on', 'get it', 'understand', 'digest', 'dig', 'cotton on', 'grasp', 'grok', 'apprehend', 'figure', 'intuit']","['stand still', 'better', 'exclude', 'stay', 'disbelieve']"
Scandalous,{'Adjective': ['giving offense to moral sensibilities and injurious to reputation']},"['shameful', 'shocking', 'disgraceful', 'immoral']","['moral', 'honorable', 'unsensational', 'chaste', 'immorality']"
Scorn,"{'Noun': ['lack of respect accompanied by a feeling of intense dislike', 'open disrespect for a person or thing'], 'Verb': ['look down on with disdain', 'reject with contempt']}","['despite', 'contempt', 'disdain', 'dislike']","['liking', 'contract in', 'allow', 'lose', 'lend oneself']"
Scrupulous,"{'Adjective': ['having scruples; arising from a sense of right and wrong; principled', 'characterized by extreme care and great effort']}","['conscientious', 'painstaking', 'careful']","['careless', 'carelessness', 'negligent', 'incautious']"
Scrutinize,"{'Verb': ['to look at critically or searchingly, or in minute detail', 'examine carefully for accuracy with the intent of verification']}","['scrutinise', 'examine', 'size up', 'see', 'take stock']","['exclude', 'disrespect', 'literalize', 'spiritualize', 'enjoy']"
Secrete,"{'Verb': ['generate and separate from cells or bodily fluids', 'place out of sight; keep secret']}","['ooze', 'ooze out', 'transude', 'exude', 'water', 'release', 'exudate']","['fresh water', 'saltwater', 'soft water', 'hard water', 'territorial waters']"
Sentiment,"{'Noun': ['tender, romantic, or nostalgic feeling or emotion', 'a personal belief or judgment that is not founded on proof or certainty']}","['sentimentality', 'razbliuto', 'feeling']","['disrespect', 'reversal', 'judgment in personam', 'judgment in rem']"
Sheer,"{'Verb': ['turn sharply; change direction abruptly', 'cause to sheer'], 'Adjective': ['complete and without restriction or qualification; sometimes used informally as intensifiers', 'not mixed with extraneous elements', 'very steep; having a prominent and almost vertical front', 'so thin as to transmit light'], 'Adverb': ['straight up or down without a break', 'directly']}","['absolute', 'out-and-out', 'right-down', 'rank', 'complete', 'downright']","['incomplete', 'liquid', 'solid', 'clear', 'opaque']"
Simple,"{'Noun': ['any herbaceous plant having medicinal properties', 'a person lacking intelligence or common sense'], 'Adjective': ['having few parts; not complex or complicated or involved', 'easy and not involved or complicated', 'apart from anything else; without additions or modifications', 'exhibiting childlike simplicity and credulity', 'lacking mental capacity and subtlety', '(botany', 'unornamented']}","['uncomplicated', 'unsubdivided', 'easy', 'simplistic', 'simplex', 'plain', 'unsophisticated', 'complexity', 'undecomposable', 'complexness', 'unanalyzable']","['difficult', 'simplicity', 'fancy', 'complex', 'religious person']"
Sinister,"{'Adjective': ['threatening or foreshadowing evil or tragic developments', 'stemming from evil characteristics or forces; wicked or dishonorable', ""on or starting from the wearer's left""]}","['minacious', 'menacing', 'ominous', 'minatory', 'forbidding', 'threatening', 'alarming', 'baleful']","['unalarming', 'propitious', 'pleasant', 'clear', 'beneficent']"
Solidarity,{'Noun': ['a union of interests or purposes or sympathies among members of a group']},"['commonness', 'commonality']","['individuality', 'unusualness', 'uncommon']"
Sparingly,{'Adverb': ['to a meager degree or in a meager manner']},"['slenderly', 'meagrely', 'meagerly']","['amply', 'sufficient', 'maximum', 'maximal']"
Spawn,"{'Noun': ['the mass of eggs deposited by fish or amphibians or molluscs'], 'Verb': ['call forth', 'lay spawn']}","['roe', 'egg']","['fall short of', 'stay in place', 'unmake']"
Spur,"{'Noun': ['a verbalization that encourages you to attempt something', 'any sharply pointed projection', 'tubular extension at the base of the corolla in some flowers', ""a sharp prod fixed to a rider's heel and used to urge a horse onward"", 'a railway line connected to a trunk line'], 'Verb': ['incite or stimulate', 'give heart or courage to', 'strike with a spur', 'goad with spurs', 'equip with spurs']}","['spurring', 'goad', 'goading', 'prod', 'urging', 'prodding', 'encouragement']","['discouragement', 'empty', 'dissuasion', 'dishearten', 'near']"
Squalid,"{'Adjective': ['morally degraded', 'foul and run-down and repulsive']}","['flyblown', 'soiled', 'sordid', 'dirty', 'unclean']","['clean', 'fresh', 'unblemished', 'dirtiness', 'tidy']"
Stark,"{'Adjective': ['devoid of any qualifications or disguise or adornment', 'severely simple', 'complete or extreme', 'without qualification; used informally as (often pejorative', 'providing no shelter or sustenance'], 'Adverb': ['completely']}","['crude', 'unconditional', 'blunt', 'unconditioned']","['conditional', 'whisper', 'shout', 'close up', 'specify']"
Static,"{'Noun': ['a crackling or hissing noise caused by electrical interference', 'angry criticism'], 'Adjective': ['not in physical motion', 'concerned with or producing or caused by static electricity', 'showing little if any change']}","['motionless', 'nonmoving', 'inactive', 'still', 'unmoving']","['moving', 'inactivity', 'regularity', 'comprehensibility', 'mobile']"
Subordinate,"{'Noun': ['an assistant subject to the authority or control of another', 'a word that is more specific than a given word'], 'Verb': ['rank or order as less important or consider of less value', 'make subordinate, dependent, or subservient'], 'Adjective': ['lower in rank or importance', 'subject or submissive to authority or the control of another', '(of a clause', 'or dependent']}","['supporter', 'foot soldier', 'man', 'subsidiary', 'assistant', 'helper', 'bottom dog', 'cog', 'underling', 'associate', 'help', 'second banana', 'second fiddle']","['captor', 'disjoin', 'foe', 'nonmember', 'dissociate']"
Subsequently,{'Adverb': ['happening at a time subsequent to a reference time']},"['afterward', 'later on', 'later', 'afterwards', 'after']","['antecedent', 'early', 'fore']"
Substantial,"{'Adjective': ['of considerable importance, size, or worth', 'of or relating to the real nature or essential elements of something', 'having substance or capable of being treated as fact; not imaginary', 'providing abundant nourishment', 'of good quality and condition; solidly built', 'having an abundant supply of money or possessions of value']}","['considerable', 'significant']","['inconsiderable', 'abstract', 'counterfeit']"
Substantiate,"{'Verb': ['establish or strengthen as with new evidence or facts', 'represent in bodily form', 'make real or concrete; give reality or substance to', 'solidify, firm, or strengthen']}","['back', 'affirm', 'verify', 'vouch', 'support', 'sustain', 'show', 'demonstrate', 'confirm', 'prove', 'shew', 'establish', 'validate', 'corroborate', 'document', 'back up']","['negate', 'invalidate', 'disprove', 'anterior', 'stay in place']"
Subtle,"{'Adjective': ['difficult to detect or grasp by the mind or analyze', 'able to make fine distinctions', 'working or spreading in a hidden and usually injurious way']}","['impalpable', 'elusive']","['palpable', 'benign', 'nontoxic']"
Sufficient,{'Adjective': ['of a quantity that can fulfill a need or requirement but without being abundant']},"['enough', 'quantity', 'comfortable', 'decent', 'ample', 'adequate']","['insufficient', 'meager', 'nonstandard', 'standard', 'misconception']"
Surly,{'Adjective': ['inclined to anger or bad feelings with overtones of menace']},"['ugly', 'ill-natured']","['good-natured', 'graceful', 'attractive']"
Surmount,"{'Verb': ['get on top of; deal with successfully', 'be on top of', 'reach the highest point of', 'be or do something to a greater degree']}","['vanquish', 'get over', 'bulldog', 'trounce', 'crush', 'master', 'beat out', 'overcome', 'shell', 'beat', 'subdue']","['keep', 'explode', 'begin', 'promote', 'repair']"
Susceptible,{'Adjective': ['easily impressed emotionally']},"['sensitive', 'unresistant', 'capable', 'susceptibleness', 'nonimmune', 'unvaccinated', 'hypersensitive', 'tractable', 'suggestible', 'supersensitive', 'liable', 'sensitised', 'hypersensitised', 'supersensitised', 'amenable', 'suasible', 'unprotected', 'supersensitized', 'hypersensitized', 'fictile', 'susceptibility', 'vulnerable', 'nonresistant', 'sensitized', 'subject', 'convincible', 'persuasible', 'pliable', 'open', 'allergic', 'predisposed', 'temptable', 'persuadable']","['unsusceptible', 'protected', 'insensitive', 'unsusceptibility', 'invulnerable']"
Tactful,"{'Adjective': ['having or showing a sense of what is fitting and considerate in dealing with others', 'showing skill and sensitivity in dealing with people']}","['diplomatical', 'kid-glove', 'diplomatic']","['undiplomatic', 'impolitic', 'undiscerning', 'uncritical']"
Taut,"{'Adjective': ['pulled or drawn tight', 'subjected to great tension; stretched tight']}","['tense', 'tight']","['lax', 'unagitated', 'easy']"
Teeming,"{'Verb': ['be teeming, be abuzz', 'move in large numbers'], 'Adjective': ['abundantly filled with especially living things']}",['abundant'],"['scarce', 'poor']"
Temperament,"{'Noun': ['your usual mood', 'excessive emotionalism or irritability and excitability (especially when displayed openly', 'an adjustment of the intervals (as in tuning a keyboard instrument']}","['agreeableness', 'good nature', 'cheerfulness', 'moodiness', 'animalism', 'sunshine', 'bloodiness', 'unwillingness', 'uncheerfulness', 'perfectionism', 'epicurism', 'physicality', 'ill nature', 'agreeability', 'calm', 'solitariness', 'heart', 'unsociability', 'esprit de corps', 'composure', 'friendliness', 'discomposure', 'loneliness', 'spirit', 'gourmandism', 'lonesomeness', 'cheer', 'team spirit', 'sunniness', 'tolerance', 'unwilling', 'morale', 'unfriendliness', 'willingness', 'restrictiveness', 'involuntariness', 'calmness', 'disposition', 'aloneness', 'nature', 'optimism', 'bloodthirstiness', 'nervousness', 'blood', 'permissiveness', 'willing', 'disagreeableness', 'unpermissiveness', 'pessimism', 'equanimity', 'unsociableness']","['agreeableness', 'good nature', 'cheerfulness', 'unwillingness', 'uncheerfulness', 'ill nature', 'sociability', 'friendliness', 'composure', 'discomposure', 'unwilling', 'willingness', 'unfriendliness', 'willing', 'optimism', 'permissiveness', 'disagreeableness', 'unpermissiveness', 'pessimism']"
Tentative,"{'Adjective': ['under terms not final or fully worked out or agreed upon', 'unsettled in mind or opinion']}","['probationary', 'provisionary', 'provisional', 'conditional']","['unconditional', 'unqualified', 'unquestionable', 'sure', 'certain']"
Transparent,"{'Adjective': ['transmitting light; able to be seen through with clarity', 'so thin as to transmit light', 'free of deceit', 'easily understood or seen through (because of a lack of subtlety']}","['crystalline', 'crystal clear', 'limpid', 'lucid', 'pellucid', 'clear']","['opaque', 'liquid', 'solid', 'clear', 'fat']"
Treacherous,"{'Adjective': ['dangerously unstable and unpredictable', 'tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans']}","['dangerous', 'unreliable', 'unsafe']","['safe', 'dependable', 'reliable', 'trustworthy']"
Tremendous,"{'Adjective': ['extraordinarily large in size or extent or amount or power or degree', 'extraordinarily good or great; used especially as intensifiers', 'extreme in degree or extent or amount or impact']}","['big', 'large', 'enormous']","['little', 'small', 'unimpressive', 'common']"
Ubiquitous,{'Adjective': ['being present everywhere at once']},"['omnipresent', 'present']","['absent', 'disinherit', 'absence']"
Unadorned,{'Adjective': ['not decorated with something to increase its beauty or distinction']},"['bare', 'unornamented', 'plain', 'untufted', 'unembellished', 'spare', 'undecorated', 'unclothed']","['clothed', 'fancy', 'adorned', 'ample', 'covered']"
Undermine,"{'Verb': ['destroy property or hinder normal operations', 'hollow out as if making a cave or opening']}","['sabotage', 'countermine', 'counteract', 'derail', 'subvert', 'disobey', 'weaken']","['obey', 'energise', 'strengthen', 'focus', 'stiffen']"
Underscore,"{'Noun': ['a line drawn underneath (especially under written matter'], 'Verb': ['give extra weight to (a communication', 'draw a line or lines underneath to call attention to']}","['emphasize', 'punctuate', 'accent', 'stress', 'accentuate', 'emphasise', 'underline']",['ignore']
Undulate,"{'Verb': ['stir up (water', 'occur in soft rounded shapes', 'move in a wavy pattern or with a rising and falling motion', 'increase and decrease in volume or pitch, as if in waves'], 'Adjective': ['having a wavy margin and rippled surface']}","['turn up', 'ripple', 'flux', 'fold up', 'cockle', 'riffle', 'fold', 'flow', 'ruffle']","['unfold', 'inflow', 'influx', 'efflux', 'outflow']"
Unilateral,"{'Adjective': ['involving only one part or side', 'tracing descent from either the paternal or the maternal line only']}","['one-sided', 'one-party']","['multilateral', 'impartial', 'reversible']"
Unjust,"{'Adjective': ['not fair; marked by injustice or partiality or deception', 'violating principles of justice', 'not equitable or fair']}","['unfair', 'equity', 'dirty', 'below the belt', 'foul', 'unsportsmanlike', 'raw', 'fairness', 'cheating', 'unsporting', 'partial']","['inequity', 'impartial', 'unfairness', 'fair', 'unfair']"
Unmitigated,{'Adjective': ['not diminished or moderated in intensity or severity; sometimes used as an intensifier']},"['bally', 'flaming', 'stark', 'thoroughgoing', 'pure', 'bodacious', 'complete', 'double-dyed', 'staring', 'arrant', 'crashing', 'perfect', 'undiminished', 'unadulterated', 'bloody', 'sodding', 'utter', 'blooming', 'gross', 'consummate', 'fucking', 'unrelieved', 'everlasting', 'blinking']","['mitigated', 'cold', 'hospitable', 'conditional', 'fancy']"
Unprecedented,{'Adjective': ['having no precedent; novel']},"['unexampled', 'new']","['precedented', 'nonmodern', 'old']"
Unveil,"{'Verb': ['remove the veil from', 'make visible', 'remove the cover from']}","['expose', 'uncover']","['veil', 'cover', 'wrap']"
Urge,"{'Noun': ['an instinctive motive', 'a strong restless desire'], 'Verb': ['force or impel in an indicated direction', 'push for something', 'spur on or encourage especially by cheers and shouts']}","['bear on', 'advocate', 'push', 'exhort', 'urge on', 'rede', 'hurry', 'counsel', 'press', 'advise', 'rush', 'preach']","['delay', 'retreat', 'stay in place', 'persuade', 'indicate']"
Validate,"{'Verb': ['declare or make legally valid', 'prove valid; show or confirm the validity of something', 'give evidence for', 'make valid or confirm the validity of']}","['probate', 'formalise', 'sign', 'co-sign', 'authorize', 'authorise', 'pass', 'clear', 'ratify', 'formalize', 'cosign']","['invalidate', 'dematerialize', 'dematerialise', 'stay in place', 'be born']"
Viability,"{'Noun': ['(of living things', 'capable of being done in a practical and useful way']}",['property'],"['strength', 'solvability']"
Vital,"{'Adjective': ['urgently needed; absolutely necessary', 'performing an essential function in the living body', 'full of spirit; full of life', 'manifesting or characteristic of life']}","['indispensable', 'critical']","['dispensable', 'unaware', 'nonexistent']"
Vow,"{'Noun': ['a solemn pledge (to oneself or to another or to a deity'], 'Verb': ['make a vow; promise', 'dedicate to a deity by a vow']}","['swear', 'betroth', 'profess', 'plight', 'pledge', 'engage', 'affiance']","['mistrust', 'deny', 'dishonor', 'nonmember', 'fire']"
Warrant,"{'Noun': ['a writ from a court commanding police to perform specified acts', 'a type of security issued by a corporation (usually together with a bond or preferred stock', 'formal and explicit approval', 'a written assurance that some product or service will be provided or will meet certain specifications'], 'Verb': ['provide adequate grounds to justify (a certain course of action', 'stand behind and guarantee the quality, accuracy, or condition of']}","['justify', 'confirm', 'reassert']","['break', 'decertify', 'boycott', 'invalidate']"
Yield,"{'Noun': ['production of a certain amount', 'the income or profit arising from such transactions as the sale of land or other property', 'an amount of a product', 'the quantity of something (as a commodity', 'usually within a given period of time'], 'Verb': ['be the cause or source of', 'end resistance, as under pressure or force', 'give or supply', 'give over; surrender or relinquish to the physical control of another', 'give in, as to influence or pressure', 'move in order to make room for someone for something', 'cause to happen or be responsible for', 'be willing to concede', 'be fatally overwhelmed', 'bring in', 'be flexible under stress of physical force', 'cease opposition; stop fighting', 'consent reluctantly']}","['give', 'render', 'allow', 'furnish', 'open up', 'open', 'allow for', 'afford', 'provide', 'leave', 'supply']","['lack', 'bull', 'break even', 'lose', 'ignore']"
